"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation %"
"31/12/2025","1,967","1,967","1,967","1,967","-1,40%"
"30/12/2025","1,995","1,995","1,995","1,994","0,00%"
"29/12/2025","1,995","1,998","1,998","1,995","0,15%"
"26/12/2025","1,992","1,992","1,992","1,992","2,68%"
"23/12/2025","1,940","1,998","1,999","1,936","-2,95%"
"22/12/2025","1,999","1,970","1,999","1,960","0,05%"
"19/12/2025","1,998","2,010","2,023","1,813","0,30%"
"18/12/2025","1,992","1,990","2,036","1,965","-0,50%"
"17/12/2025","2,002","1,990","2,026","1,967","0,30%"
"16/12/2025","1,996","2,002","2,019","1,835","-0,25%"
"15/12/2025","2,001","1,943","2,009","1,943","1,16%"
"12/12/2025","1,978","1,968","2,000","1,911","-0,60%"
"11/12/2025","1,990","2,014","2,014","1,969","-0,40%"
"10/12/2025","1,998","1,957","2,000","1,940","0,91%"
"09/12/2025","1,980","2,009","2,010","1,404","1,38%"
"08/12/2025","1,953","1,994","2,012","1,951","-1,26%"
"05/12/2025","1,978","1,987","2,003","1,908","1,75%"
"04/12/2025","1,944","2,012","2,012","1,912","-1,72%"
"03/12/2025","1,978","1,986","1,988","1,978","0,00%"
"02/12/2025","1,978","1,991","2,008","1,965","6,32%"
"01/12/2025","1,860","1,869","1,908","1,860","-0,17%"
"28/11/2025","1,863","1,826","1,863","1,825","1,40%"
"27/11/2025","1,838","1,838","1,846","1,829","0,72%"
"26/11/2025","1,825","1,836","1,852","1,825","-0,40%"
"25/11/2025","1,832","1,824","1,855","1,821","-0,39%"
"24/11/2025","1,839","1,801","1,850","1,800","0,82%"
"21/11/2025","1,824","1,809","1,839","1,784","0,60%"
"20/11/2025","1,813","1,774","1,827","1,763","0,45%"
"19/11/2025","1,805","1,793","1,806","1,783","0,67%"
"18/11/2025","1,793","1,793","1,793","1,793","-0,11%"
"17/11/2025","1,795","1,790","1,795","1,790","-0,66%"
"14/11/2025","1,807","1,807","1,829","1,801","-1,20%"
"13/11/2025","1,829","1,807","1,848","1,790","1,35%"
"12/11/2025","1,805","1,796","1,814","1,793","0,32%"
"11/11/2025","1,799","1,808","1,816","1,799","-0,96%"
"10/11/2025","1,816","1,799","1,816","1,782","1,42%"
"07/11/2025","1,791","1,774","1,814","1,765","-0,48%"
"06/11/2025","1,800","1,814","1,814","1,786","0,11%"
"05/11/2025","1,798","1,800","1,870","1,787","-0,67%"
"04/11/2025","1,810","1,807","1,819","1,801","1,38%"
"03/11/2025","1,785","1,846","1,882","1,745","-2,54%"
"31/10/2025","1,832","1,758","1,872","1,737","0,83%"
"30/10/2025","1,817","1,820","1,868","1,734","-0,22%"
"29/10/2025","1,821","1,797","1,855","1,343","0,33%"
"28/10/2025","1,815","1,735","1,846","1,721","0,50%"
"27/10/2025","1,806","1,835","1,854","1,701","17,28%"
"24/10/2025","1,540","1,502","1,544","1,502","4,89%"
"23/10/2025","1,468","1,468","1,468","1,468","1,41%"
"22/10/2025","1,448","1,429","1,463","1,425","-0,78%"
"21/10/2025","1,459","1,425","1,467","1,425","1,02%"
"17/10/2025","1,444","1,448","1,455","1,408","1,23%"
"16/10/2025","1,427","1,444","1,461","1,420","-1,25%"
"15/10/2025","1,445","1,502","1,502","1,445","-2,44%"
"14/10/2025","1,481","1,585","1,585","1,478","-2,73%"
"13/10/2025","1,523","1,589","1,600","1,516","-4,31%"
"10/10/2025","1,591","1,578","1,600","1,575","0,75%"
"09/10/2025","1,579","1,612","1,612","1,573","-0,73%"
"08/10/2025","1,591","1,609","1,638","1,576","-2,19%"
"07/10/2025","1,627","1,710","1,710","1,615","-2,08%"
"06/10/2025","1,661","1,681","1,720","1,635","-2,79%"
"03/10/2025","1,709","1,731","1,734","1,686","-1,07%"
"02/10/2025","1,727","1,719","1,727","1,711","0,08%"
"01/10/2025","1,726","1,780","1,780","1,723","-1,72%"
"30/09/2025","1,756","1,727","1,785","1,725","14,52%"
"29/09/2025","1,533","1,562","1,594","1,522","-7,31%"
"26/09/2025","1,655","1,665","1,665","1,645","3,38%"
"25/09/2025","1,600","1,622","1,632","1,590","-0,11%"
"24/09/2025","1,602","1,619","1,626","1,592","0,38%"
"23/09/2025","1,596","1,527","1,642","1,429","-0,84%"
"22/09/2025","1,610","1,751","1,751","1,603","-4,36%"
"19/09/2025","1,683","1,667","1,772","1,667","0,42%"
"18/09/2025","1,676","1,541","1,716","1,541","7,15%"
"17/09/2025","1,564","1,680","1,680","1,561","-1,18%"
"16/09/2025","1,583","1,680","1,680","1,580","-5,79%"
"15/09/2025","1,680","1,700","1,751","1,555","-4,00%"
"12/09/2025","1,750","1,799","1,799","1,638","-1,24%"
"11/09/2025","1,772","1,923","1,923","1,716","-3,70%"
"10/09/2025","1,840","1,906","1,973","1,795","-2,08%"
"09/09/2025","1,879","1,906","1,906","1,775","1,56%"
"08/09/2025","1,850","1,904","1,923","1,840","-2,83%"
"05/09/2025","1,904","1,919","1,930","1,855","0,58%"
"04/09/2025","1,893","1,969","1,969","1,814","0,05%"
"03/09/2025","1,892","1,875","1,906","1,800","2,22%"
"02/09/2025","1,851","1,891","1,891","1,786","-0,86%"
"01/09/2025","1,867","1,877","1,877","1,685","0,76%"
"29/08/2025","1,853","1,883","1,883","1,767","-0,38%"
"28/08/2025","1,860","1,881","1,881","1,773","2,59%"
"27/08/2025","1,813","1,895","1,895","1,773","-3,51%"
"26/08/2025","1,879","1,899","1,899","1,769","0,11%"
"25/08/2025","1,877","1,663","1,881","1,635","12,87%"
"22/08/2025","1,663","1,660","1,670","1,610","0,00%"
"21/08/2025","1,663","1,605","1,665","1,605","3,55%"
"20/08/2025","1,606","1,618","1,618","1,538","3,55%"
"19/08/2025","1,551","1,772","1,772","1,517","-12,47%"
"18/08/2025","1,772","1,820","1,820","1,610","-2,69%"
"15/08/2025","1,821","1,828","1,830","1,728","1,40%"
"14/08/2025","1,796","1,828","1,829","1,760","-1,65%"
"13/08/2025","1,826","1,806","1,830","1,760","1,11%"
"12/08/2025","1,806","1,798","1,856","1,760","1,46%"
"11/08/2025","1,780","1,858","1,905","1,742","-3,26%"
"08/08/2025","1,840","1,881","1,972","1,760","-1,23%"
"07/08/2025","1,863","1,970","1,970","1,790","5,92%"
"06/08/2025","1,759","1,831","1,831","1,754","-1,56%"
"05/08/2025","1,787","1,822","1,855","1,756","-1,69%"
"04/08/2025","1,817","1,856","1,860","1,817","-1,60%"
"01/08/2025","1,847","1,834","1,860","1,830","0,05%"
"31/07/2025","1,846","1,850","1,862","1,829","-0,32%"
"30/07/2025","1,852","1,832","1,855","1,825","-0,96%"
"29/07/2025","1,870","1,813","1,900","1,813","2,30%"
"28/07/2025","1,828","1,837","1,840","1,824","0,22%"
"25/07/2025","1,824","1,848","1,851","1,820","-1,30%"
"24/07/2025","1,848","1,860","1,923","1,806","0,82%"
"23/07/2025","1,833","1,820","1,860","1,817","-0,70%"
"22/07/2025","1,846","1,820","1,861","1,803","1,43%"
"21/07/2025","1,820","1,816","1,840","1,807","0,55%"
"18/07/2025","1,810","1,817","1,823","1,807","-0,39%"
"17/07/2025","1,817","1,816","1,820","1,804","-0,33%"
"16/07/2025","1,823","1,807","1,827","1,800","1,84%"
"15/07/2025","1,790","1,809","1,837","1,758","-1,00%"
"14/07/2025","1,808","1,849","1,858","1,808","-0,33%"
"11/07/2025","1,814","1,841","1,852","1,811","-1,89%"
"10/07/2025","1,849","1,816","1,903","1,808","0,16%"
"09/07/2025","1,846","1,847","1,850","1,811","-0,11%"
"08/07/2025","1,848","1,855","1,877","1,824","-0,54%"
"07/07/2025","1,858","1,824","1,875","1,824","1,53%"
"04/07/2025","1,830","1,847","1,856","1,819","0,55%"
"03/07/2025","1,820","1,841","1,847","1,796","0,55%"
"02/07/2025","1,810","1,773","1,841","1,749","-0,55%"
"01/07/2025","1,820","1,666","1,832","1,666","2,82%"
"30/06/2025","1,770","1,747","1,805","1,732","0,00%"
"27/06/2025","1,770","1,800","1,803","1,730","0,00%"
"26/06/2025","1,770","1,707","1,830","1,700","-1,67%"
"25/06/2025","1,800","1,693","1,830","1,693","0,00%"
"24/06/2025","1,800","1,747","1,831","1,728","5,88%"
"23/06/2025","1,700","1,749","1,749","1,703","-1,73%"
"20/06/2025","1,730","1,677","1,750","1,667","1,76%"
"19/06/2025","1,700","1,750","1,750","1,673","1,19%"
"18/06/2025","1,680","1,670","1,766","1,665","-2,89%"
"17/06/2025","1,730","1,736","1,746","1,624","1,17%"
"16/06/2025","1,710","1,742","1,815","1,644","-3,93%"
"13/06/2025","1,780","1,809","1,812","1,740","0,00%"
"12/06/2025","1,780","1,857","1,857","1,772","-0,56%"
"11/06/2025","1,790","1,857","1,858","1,787","-0,56%"
"10/06/2025","1,800","1,806","1,858","1,661","0,00%"
"09/06/2025","1,800","1,723","1,811","1,723","-0,55%"
"06/06/2025","1,810","1,858","1,862","1,804","-0,55%"
"05/06/2025","1,820","1,866","1,866","1,801","0,00%"
"04/06/2025","1,820","1,873","1,873","1,812","-1,09%"
"03/06/2025","1,840","1,875","1,875","1,821","0,00%"
"02/06/2025","1,840","1,874","1,877","1,831","0,00%"
"30/05/2025","1,840","1,876","1,879","1,833","-0,54%"
"29/05/2025","1,850","1,566","1,897","1,566","-1,07%"
"28/05/2025","1,870","1,887","1,892","1,675","0,54%"
"27/05/2025","1,860","1,893","1,894","1,850","0,00%"
"26/05/2025","1,860","1,896","1,899","1,856","0,00%"
"23/05/2025","1,860","1,907","1,907","1,853","1,09%"
"22/05/2025","1,840","1,913","1,916","1,840","-1,60%"
"21/05/2025","1,870","1,858","1,920","1,820","1,08%"
"20/05/2025","1,850","1,896","1,896","1,836","0,00%"
"19/05/2025","1,850","1,962","1,962","1,839","-0,54%"
"16/05/2025","1,860","1,899","1,899","1,855","-0,53%"
"15/05/2025","1,870","1,942","1,942","1,854","0,00%"
"14/05/2025","1,870","1,896","1,952","1,861","-2,09%"
"13/05/2025","1,910","1,956","1,957","1,863","-0,52%"
"12/05/2025","1,920","1,946","1,958","1,885","1,05%"
"09/05/2025","1,900","1,946","1,946","1,901","0,00%"
"08/05/2025","1,900","1,941","1,945","1,897","7,95%"
"07/05/2025","1,760","1,809","1,809","1,763","0,57%"
"06/05/2025","1,750","1,809","1,809","1,760","-1,69%"
"05/05/2025","1,780","1,829","1,830","1,774","-0,56%"
"02/05/2025","1,790","1,825","1,828","1,775","0,56%"
"30/04/2025","1,780","1,831","1,831","1,788","0,00%"
"29/04/2025","1,780","1,823","1,823","1,763","0,00%"
"28/04/2025","1,780","1,871","1,872","1,784","-2,73%"
"25/04/2025","1,830","1,871","1,871","1,820","0,00%"
"24/04/2025","1,830","1,884","1,976","1,827","-0,54%"
"23/04/2025","1,840","1,877","1,880","1,830","0,00%"
"22/04/2025","1,840","1,892","1,892","1,803","0,00%"
"17/04/2025","1,840","1,922","1,922","1,807","-2,13%"
"16/04/2025","1,880","2,074","2,074","1,858","-2,08%"
"15/04/2025","1,920","1,993","1,993","1,907","-1,54%"
"14/04/2025","1,950","2,089","2,090","1,931","-4,41%"
"11/04/2025","2,040","2,084","2,086","2,010","0,00%"
"10/04/2025","2,040","2,081","2,091","2,031","0,99%"
"09/04/2025","2,020","2,071","2,091","2,022","-1,46%"
"08/04/2025","2,050","2,120","2,121","2,032","-1,44%"
"07/04/2025","2,080","2,145","2,145","2,026","-0,48%"
"04/04/2025","2,090","2,190","2,190","2,049","-0,48%"
"03/04/2025","2,100","2,256","2,256","2,052","0,00%"
"02/04/2025","2,100","2,192","2,192","2,008","-0,94%"
"01/04/2025","2,120","2,191","2,191","2,089","1,44%"
"31/03/2025","2,090","2,100","2,184","2,029","1,46%"
"28/03/2025","2,060","2,176","2,176","1,859","-0,96%"
"27/03/2025","2,080","2,122","2,167","2,097","-3,26%"
"26/03/2025","2,150","2,136","2,188","2,030","2,38%"
"25/03/2025","2,100","2,146","2,197","2,119","-2,78%"
"24/03/2025","2,160","2,120","2,240","1,975","1,89%"
"21/03/2025","2,120","2,220","2,221","2,112","0,00%"
"20/03/2025","2,120","2,210","2,222","2,116","4,95%"
"19/03/2025","2,020","0,000","0,000","0,000","0,00%"
"18/03/2025","2,020","0,000","0,000","0,000","0,00%"
"17/03/2025","2,020","2,160","2,160","2,040","-4,27%"
"14/03/2025","2,110","2,180","2,181","2,088","-0,94%"
"13/03/2025","2,130","2,187","2,189","2,109","-0,47%"
"12/03/2025","2,140","2,189","2,195","2,188","0,00%"
"11/03/2025","2,140","2,184","2,191","2,135","0,00%"
"10/03/2025","2,140","2,190","2,190","2,138","0,00%"
"07/03/2025","2,140","2,194","2,194","2,188","-0,47%"
"06/03/2025","2,150","2,200","2,282","2,142","-4,02%"
"05/03/2025","2,240","2,301","2,301","2,158","0,45%"
"04/03/2025","2,230","2,355","2,355","2,234","-1,76%"
"03/03/2025","2,270","2,319","2,338","2,247","1,34%"
"28/02/2025","2,240","2,346","2,346","2,259","-1,32%"
"27/02/2025","2,270","2,329","2,345","2,287","-0,87%"
"26/02/2025","2,290","2,314","2,364","2,160","-1,29%"
"25/02/2025","2,320","2,349","2,356","2,137","0,87%"
"24/02/2025","2,300","2,260","2,352","2,160","2,68%"
"21/02/2025","2,240","2,291","2,342","1,723","0,00%"
"20/02/2025","2,240","2,397","2,397","2,239","-5,08%"
"19/02/2025","2,360","2,399","2,401","2,336","0,00%"
"18/02/2025","2,360","2,438","2,438","2,347","-1,67%"
"17/02/2025","2,400","2,435","2,436","2,350","0,00%"
"14/02/2025","2,400","2,476","2,476","2,395","0,00%"
"13/02/2025","2,400","2,477","2,478","2,401","-2,04%"
"12/02/2025","2,450","2,481","2,483","2,414","0,00%"
"11/02/2025","2,450","2,476","2,480","2,422","0,41%"
"10/02/2025","2,440","2,482","2,539","2,407","-0,41%"
"07/02/2025","2,450","2,543","2,543","2,393","0,00%"
"06/02/2025","2,450","2,625","2,625","2,344","-0,81%"
"05/02/2025","2,470","2,554","2,554","2,229","-0,40%"
"04/02/2025","2,480","2,547","2,547","2,450","0,81%"
"03/02/2025","2,460","2,569","2,569","2,460","-1,60%"
"31/01/2025","2,500","2,587","2,587","2,470","-0,79%"
"30/01/2025","2,520","2,676","2,676","2,416","-0,79%"
"29/01/2025","2,540","2,605","2,614","2,459","0,40%"
"28/01/2025","2,530","2,610","2,610","2,485","-1,56%"
"27/01/2025","2,570","2,674","2,675","2,587","-0,39%"
"24/01/2025","2,580","2,685","2,685","2,570","-0,39%"
"23/01/2025","2,590","2,683","2,686","2,570","0,00%"
"22/01/2025","2,590","2,701","2,701","2,590","-0,38%"
"21/01/2025","2,600","2,601","2,699","2,600","0,00%"
"20/01/2025","2,600","2,517","2,700","2,516","4,00%"
"17/01/2025","2,500","2,402","2,550","2,402","1,21%"
"16/01/2025","2,470","2,575","2,575","2,389","2,49%"
"15/01/2025","2,410","2,593","2,593","2,410","-3,21%"
"14/01/2025","2,490","2,631","2,631","2,480","-1,58%"
"13/01/2025","2,530","2,685","2,685","2,388","-0,78%"
"10/01/2025","2,550","2,600","2,647","2,540","-0,39%"
"09/01/2025","2,560","2,608","2,650","2,499","0,79%"
"08/01/2025","2,540","2,644","2,644","2,510","1,60%"
"07/01/2025","2,500","2,629","2,639","2,519","-0,79%"
"06/01/2025","2,520","2,611","2,650","2,500","1,20%"
"03/01/2025","2,490","2,603","2,608","2,386","-0,40%"
"02/01/2025","2,500","2,611","2,611","2,531","-0,40%"